state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,time pulled,percentWithoutPower,date,time
L,POINTE COUPEE,5174,0,100.0,1753192647258,30.789189189189187,-91.64455598455598,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,RED RIVER,461,0,100.0,1753192647258,32.065892116182575,-93.20518672199172,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,RICHLAND,9153,0,100.0,1753192647258,32.37761255115962,-91.76414733969986,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,SABINE,90,0,100.0,1753192647258,31.50692307692308,-93.3553846153846,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. BERNARD,22973,0,100.0,1753192647258,29.932934362934365,-89.76490347490348,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. CHARLES,22949,18,100.0,1753192647258,29.84905511811024,-90.40023622047244,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. HELENA,1824,0,100.0,1753192647258,30.80721712538226,-90.84807339449542,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. JAMES,9929,0,100.0,1753192647258,29.958266666666667,-90.748,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. JOHN THE BAPTIST,19415,0,100.0,1753192647258,30.092586206896552,-90.53577586206896,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. LANDRY,11186,4,100.0,1753192647258,30.52764350453172,-92.05948640483383,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. MARTIN,4992,0,100.0,1753192647258,30.25006134969325,-91.74659509202452,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ST. TAMMANY,4187,0,100.0,1753192647258,30.39796178343949,-90.02031847133759,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,TANGIPAHOA,67858,9,100.0,1753192647258,30.60185393258427,-90.36870786516852,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,TENSAS,3613,1,100.0,1753192647258,32.045488372093025,-91.31625581395348,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,TERREBONNE,27487,14,100.0,1753192647258,29.472579505300352,-90.936925795053,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,UNION,3524,0,100.0,1753192647258,32.76151639344262,-92.28840163934426,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
